train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 184/1000, train: loss=0.0038, val: psnr=40.6642, 4.2m 13.0h/70.9h
epoch 185/1000, train: loss=0.0038, val: psnr=40.4794, 4.2m 13.1h/70.9h
epoch 186/1000, train: loss=0.0038, val: psnr=41.0320, 4.2m 13.2h/70.9h
epoch 187/1000, train: loss=0.0037, val: psnr=40.8341, 4.2m 13.3h/70.9h
epoch 188/1000, train: loss=0.0037, val: psnr=41.0011, 4.2m 13.3h/70.9h
epoch 189/1000, train: loss=0.0037, val: psnr=40.7906, 4.2m 13.4h/70.9h
epoch 190/1000, train: loss=0.0037, val: psnr=40.5320, 4.2m 13.5h/70.9h
epoch 191/1000, train: loss=0.0037, val: psnr=40.6778, 4.2m 13.5h/70.9h
epoch 192/1000, train: loss=0.0038, val: psnr=40.4013, 4.2m 13.6h/70.9h
epoch 193/1000, train: loss=0.0037, val: psnr=40.5130, 4.2m 13.7h/70.9h
epoch 194/1000, train: loss=0.0037, val: psnr=40.8370, 4.2m 13.7h/70.9h
epoch 195/1000, train: loss=0.0037, val: psnr=40.9649, 4.2m 13.8h/70.9h
epoch 196/1000, train: loss=0.0037, val: psnr=41.0971, 4.2m 13.9h/70.9h
epoch 197/1000, train: loss=0.0037, val: psnr=40.6400, 4.2m 14.0h/70.9h
epoch 198/1000, train: loss=0.0037, val: psnr=40.7034, 4.2m 14.0h/70.9h
epoch 199/1000, train: loss=0.0037, val: psnr=41.0155, 4.2m 14.1h/70.8h
epoch 200/1000, train: loss=0.0037, val: psnr=40.5781, 4.2m 14.2h/70.8h
epoch 201/1000, train: loss=0.0030, val: psnr=41.2084, 4.2m 14.2h/70.8h
epoch 202/1000, train: loss=0.0030, val: psnr=41.3449, 4.2m 14.3h/70.8h
epoch 203/1000, train: loss=0.0030, val: psnr=41.1890, 4.2m 14.4h/70.8h
epoch 204/1000, train: loss=0.0030, val: psnr=41.6300, 4.2m 14.4h/70.8h
epoch 205/1000, train: loss=0.0030, val: psnr=41.8065, 4.2m 14.5h/70.8h
epoch 206/1000, train: loss=0.0030, val: psnr=41.4511, 4.2m 14.6h/70.8h
